110	blight	a thing that spoils or damages something	noun	Synonyms: affliction, scourge, bane	1. Because of the <u>urban <b>blight</u></b> that has taken over the downtown area, many of the stores have relocated to suburban malls.</br>2. The torrential rain <b>blighted<b/> the crop.	Least Difficult	FT	
111	blithe	showing a casual and cheerful indifference considered to be callous or improper, carefree and unconcerned	adjective	Synonyms: indifferent, unconcerned, blasé	The <u>rebellious teenager was <b>blithe</b> about her failing grades.</u>	Least Difficult	FT	
112	blowhard	a person who blusters and boasts in an unpleasant way	noun	Synonyms: boaster, bragger, show-off	<u>The self-promoting <b>blowhard</b> talked</u> about his own accomplishments until his guests were bored to tears	Least Difficult	FT	
113	bolster	to support or strengthen	verb	"Old English bolster ""bolster, cushion, something stuffed so that it swells up                </br>Deutsch : gleiche Urspurng Polster"	The prosecutor worked to find evidence that would <u><b>bolster</b> her case against the defendant.</u>	Common GRE	Kaplan	
114	bombast	pompous speech (adj: bombastic)	noun	"Bombast was originally a material of cotton applied to a stuff of soft, loose texture, used to swell a garment.       </br>Deutsch= der erste Teil vom Wort ""Baumwolle"" ist ähnlich wie ""Bom"""	 Madam President, Commissioner, we have <u>no need for sentimentality and <b>bombast</b> on such a serious issue </u>	Common GRE	MSU	
116	bombastic	 overblown, theatrical. High-sounding but with little meaning; inflated 	adjective	"bombast + ic=""nature of, like""</br>Synonyms: pompous, blustering, turgid"	If you want to sell your energy drink, then you must use <u><b>bombastic</b> claims</u> in your commercials.	357 prevalent GRE words	Prepscholar	
117	bore	1. v. to cause one to lose interest. 2. v. to drill a hole. adj. similar to or pertaining to objects that drill holes.			1. the lecturer repeated everything we already knew and<b> bored</b> all in the class</br>2.Pickleworms <u><b>bore</b> into</u> the fruit of cucumber and squash plants to feed on their flesh.	Homonym	MSU	
118	boycott	a punitive ban that forbids relations with certain groups	noun	Synonyms: veto, shunning, rejection	Conversely some prominent black women have <u>called for a <b>boycott</b></u>, seeing Mr. Parker’s past as a disqualifying stain.	Least Difficult	FT	
119	brazen	 bold or open to the point of shocking	adjective	"Old English bræsen ""of brass, - which then led to brazen-faced (shameless) and then hardened in war"	In a <b><u>brazen</b> assault</u>, the gang fired their weapons at the policeman.	357 prevalent GRE words	Prepscholar	
120	breach	a lapse, gap or break, as in a fortress wall. To break or break through.	noun, verb	"old English for ""break"". Most typical uses are ""breach of contract"" or ""breach of peace"". But also ""breach"" of defenses, breach of etiquette "	The club members never forgot his <u><b>breach</b> of ettiquette.</u>	Common GRE	MSU	
123	burgeon	 flourish, bloom,to grow or flourish; a bud or new growth (adj: burgeoning )	verb, noun	of uncertain origin	Left untreated, the garden <u>weeds will <b>burgeon</b> and take over the entire property within days</u>	357 prevalent GRE words	Prepscholar	
124	burlesque	 a variety show	noun	Synonyms: skit, farce, striptease	Madame JoJo’s, a <b>burlesque</b> bar in London’s Soho, had its license revoked in 2014 after two bouncers brandished a baseball bat at a rowdy crowd.	Least Difficult	FT	
125	buttress	to support. a support	verb, noun	 old French	Her good arguments <u><b>buttressed</b> her credibility</u>	Common GRE	MSU	
126	caco 	Bad 	Greek/Latin root	 PIE Kaka=to defecate	cacophony (bad sound)<br> cacography(bad handwriting)<br> cacostocracy(government by the worst in society)	Greek/Latin 	MSU	
128	cacophony	 loud and chaotic noise. a harsh, discordant mixture of sounds	noun	Synonyms: racket, noise, clamor	The <b>cacophony</b> of the middle school band warming up was nearly <u>unbearable for the audience.</u>	357 prevalent GRE words	Prepscholar	
129	cadge	to get something by taking advantage of someone	verb	" old English  ""to get by begging"""	By flirting with the bartender, the pretty girl was able to<u> <b>cadge</b> free drinks.</u>	Common GRE	MSU	
130	calumny	 lie or slander, often to damage somone's reputation	noun	" Old French calomnie/Latin calumnia ""trickery, subterfuge, misrepresentation, malicious charge"	The film was supposed to be a true story, but in fact it was a huge<u> <b>calumny</b>  to tarnish the star’s reputation.</u>	357 prevalent GRE words	Prepscholar	
131	candid	 honest, open	adjective		When questioned, she <u>held nothing back and gave a <b>candid <b>/response</u>	357 prevalent GRE words	Prepscholar	
132	canon	 accepted rules and tenets of a discipline	noun	"""canon written with 1 ""n"" - unlike the one you shoot cannonballs !  <br>  n. sacred works/scripture;<br> in this sense it is also used to refer to notable literary and artistic works of a culture or discipline"	At the same time, <u><b>canon</b> law is part of the temporal legal system</u>, and bishops are appointed jointly by the Prime Minister and the head of state	357 prevalent GRE words	Prepscholar	
133	capacity	 the capability to perform a particular action or fulfill a given function	noun	n. a particular position or role 	 she served in an <u>advisory <b>capacity<b><u>	357 prevalent GRE words	Prepscholar	
134	caprice	an impulsive act	noun	"French caprice=""whim"""	Because John <u>did not think before acting,</u> he could spend years in prison for a silly <b>caprice.</b>	Common GRE	MSU	
137	castigate	 to scold or berate strongly. to chastise or criticize severely	verb	"Latin castigatus""to correct, set right; purify; chastise, punish,"" from castus ""pure""  + agere ""to do"	The boss <u>misused performance reviews</u> to <b>castigate</b> his employees	357 prevalent GRE words	Prepscholar	
141	caustic	 corrosive. capable of dissolving by chemical action; highly critical:adj. bitterly sarcastic	adjective	" + ic=""nature of, like""</br>"	His <b><u>caustic</b> remarks</u> spoiled the mood of the party	357 prevalent GRE words	Prepscholar	
142	censure	 to express intense condemnation, an official reprimand	verb	" French, censurer.  </br>Do not confuse with ""censor""(=prevent publication)</br> Do not confuse with ""sensor""(=something that senses/measures"")"	Since the marine left base without permission, he is <u>expecting both a censure and punishment</u> when he returns tomorrow.	357 prevalent GRE words	Prepscholar	
143	chauvinist	 someone who believes prejudicially that their own group is the superior one, exaggerated, blind nationalism; patriotism degenerated into a vice	noun	French : chauvinisme, after behaviour of N. Chauvin, soldier of Napoleon who idolized Napoleon  long after he was history	<u>His sister was <b>chauvinist</b> when it comes to feminism</u>, as she gets both angry and irritated when someone opposes her point of view	357 prevalent GRE words	Prepscholar	
144	chicanery	deception by trickery, often to achieve a political, financial, or legal purpose	noun	" French chicanerie ""trickery,""  Middle French chicaner ""to pettifog, quibble"""	<u>Instead</u> of being <u>truthful</u> on his campaign for sheriff, <u>he resorted to <b>chicanery</b>. </u>	357 prevalent GRE words	Prepscholar	
146	chorale </br> corral	n. a type of hymn (sung) or a choir </br>n. a fenced enclosure for cattle or horses. v. to herd cattle or horses (or people) into one place		Corral is of Spanish origin. The  protective wide circle of ox-wagons called laager by the Afrikaners was called corral by the Americans travelling West in their wagons. 	<u>Maimie always <b>corraled</b> Marnie into serving as secretary</u> for the meetings. </br>The <b>chorale</b> originated when Martin Luther translated <u>sacred songs into the vernacular language </u>	Homophone	MSU	
147	chronic	(Of a problem) long lasting and difficult to eradicate	adjective	Greek : chronos=time+ic=nature of/like=>lasting a long time</br>Synonyms: constant, continuing, persistent 	Pessimists think the productivity problem is <b>chronic</b>. 	Least Difficult	FT	
148	chronological	 ordered by time	adjective	Latin : chrono=time+logo=theory, science, doctrine+ ic/ical=word-forming element making adjectives	He went through the events in chronological order	357 prevalent GRE words	Prepscholar	
149	-cian 	having a specific skill 	noun 		magician</br> optician</br> physician 	Suffix	MSU	
150	cide	kill 	Greek/Latin root		Killer of ( ): homicide</br> parricide(parents)</br> germicidal</br> ecocide</br> suicide</br> fungicide</br> senicide (old men)</br> libricide(old books)</br> legicide(laws)</br> uxoricide(wife)</br> filicide(son/daughter)</br> floricide(flowers)</br> infanticide(infants)</br> genocide(race/kind)</br> 	Greek/Latin 	MSU	
153	coda	a concluding event, remark or section	noun	Synonyms: ending, finale	The final section of the song was <u>sealed with a <b>coda</u></b> that sounded like an entirely different melody.	Least Difficult	FT	
154	cogent	 clearly laid out and persuasive, very clear and easy for the mind to accept and believe	adjective	 French/Latin : com=with + agere=action, ie. Co-alignment, compelling	The politician's <u>clear <b>cogent</b> argument </u>against the war won him many votes in the election	357 prevalent GRE words	Prepscholar	
155	commensurate	 in accordance with, proportional	adjective	" Latin com ""with, together""  +  mensuratus, pp mensurare ""to measure = with measure                </br>Deutsch : mit Maß"	You will get a <u>salary increase <b>commensurate</b> with</u> your additional responsibilities and work	357 prevalent GRE words	Prepscholar	
157	compelling	 captivating, very persuasive	adjective	"Latin  com ""with, together""  + pellere ""to drive"""	The jury seemed moved by the lawyer’s <u><b>compelling</b> argument</u>	357 prevalent GRE words	Prepscholar	
158	complaisant	willingly compliant or accepting of the status quo (n: complaisance)	adjective	com=with, plaisant=pleasure/pleasing	Because <u>John is too <b>complaisant</b> in his willingness to please others</u>, people often take advantage of him	Common GRE	MSU	
159	comprehensive	 complete and thorough	adjective	com=with/together, preandre=seize/hold	Heather’s <b><u>comprehensive</b> workout helps tone all of the muscles</u> in her body.	357 prevalent GRE words	Prepscholar	
161	conflagration	1. a great fire OR  <br>2. a conflict or war	noun	"con=with/togethe+ =flagrare ""to burn, blaze, glow"	1. The combustion products such as smoke,heat and hot <b>conflagration</b> gases generated during a <u>fire</u> rise upwards</br>2.  It seems as though the <u><b>conflagration</b> in the Middle East</u> has been going on for centuries 	Common GRE	MSU	
163	confound	 to confuse or astonish. Prove (a theory, expectation, or prediction) wrong	verb	Synonyms: contradict, counter, go against	Yet in another sense, <u>the Fed has <b>confounded</b> predictions</u>—at least, those it made itself.	357 prevalent GRE words	Prepscholar	
